x, y, z, r, p, h, rmse, rmse_per, geo_dis, geo_rot, trans_error, trans_error_per
2.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0099, 0.4936, 0.0126, 0.7133, 0.0022, 0.1093
4.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0331, 0.8263, 0.0535, 2.4529, 0.0046, 0.1161
6.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0239, 0.3978, 0.0671, 1.7655, 0.0070, 0.1161
8.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0225, 0.2807, 0.1365, 1.5801, 0.0123, 0.1532
10.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0137, 0.1370, 0.0407, 0.7657, 0.0092, 0.0918
12.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0494, 0.4117, 0.1903, 3.2366, 0.0242, 0.2020
14.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0279, 0.1992, 0.2794, 1.0826, 0.0265, 0.1892
16.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0350, 0.2189, 0.1137, 0.6809, 0.0341, 0.2131
18.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0559, 0.3107, 0.1792, 3.5422, 0.0294, 0.1632
20.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0387, 0.1937, 0.1892, 1.5309, 0.0330, 0.1652
22.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0353, 0.1605, 0.1194, 1.7514, 0.0262, 0.1191
24.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0348, 0.1448, 0.3463, 1.8933, 0.0249, 0.1036
26.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0616, 0.2370, 0.2317, 0.8705, 0.0605, 0.2329
28.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0519, 0.1854, 0.2370, 0.5237, 0.0516, 0.1842
30.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0286, 0.0953, 0.3613, 1.0944, 0.0253, 0.0842
32.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0557, 0.1740, 0.3645, 1.2020, 0.0534, 0.1670
34.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0693, 0.2038, 0.5601, 1.9088, 0.0650, 0.1912
36.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0616, 0.1710, 0.6745, 1.1409, 0.0604, 0.1678
38.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.1762, 0.4637, 0.7751, 11.4391, 0.0847, 0.2229
40.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.1600, 0.4000, 0.7676, 10.0549, 0.0846, 0.2114
2.0000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.0120, 0.6190, 0.0228, 0.7071, 0.0072, 0.3737
4.0000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.0280, 0.7111, 0.0659, 0.9467, 0.0251, 0.6373
6.0000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.0306, 0.5152, 0.1109, 1.5632, 0.0222, 0.3733
8.0000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.0365, 0.4604, 0.0916, 0.9628, 0.0346, 0.4366
10.0000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.0278, 0.2796, 0.0447, 0.5643, 0.0271, 0.2730
