x, y, z, r, p, h, rmse, rmse_per, geo_dis, geo_rot, trans_error, trans_error_per
3.5000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.0223, 0.6483, 0.0676, 1.4048, 0.0116, 0.3368
3.5000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.0223, 0.6483, 0.0676, 1.4048, 0.0116, 0.3368
3.5000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.0223, 0.6483, 0.0676, 1.4048, 0.0116, 0.3368
3.5000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.0223, 0.6483, 0.0676, 1.4048, 0.0116, 0.3368
3.5000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.0444, 1.2931, 0.0627, 1.0178, 0.0422, 1.2293
3.5000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.0159, 0.4640, 0.0338, 0.5129, 0.0143, 0.4176
3.5000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.0168, 0.4885, 0.0499, 1.0178, 0.0096, 0.2785
3.5000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.0168, 0.4885, 0.0499, 1.0178, 0.0096, 0.2785
3.5000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.0168, 0.4885, 0.0499, 1.0178, 0.0096, 0.2785
3.5000, 0.0000, 0.0000, 20.0000, 30.0000, 30.0000, 0.0168, 0.4885, 0.0499, 1.0178, 0.0096, 0.2785
10.0000, 10.0000, 0.0000, 0.0000, 0.0000, 45.0000, 0.1056, 0.7469, 0.1107, 2.3793, 0.1006, 0.7113
10.0000, 10.0000, 0.0000, 0.0000, 0.0000, 45.0000, 0.0266, 0.1878, 0.0282, 0.9892, 0.0229, 0.1621
10.0000, 10.0000, 0.0000, 0.0000, 0.0000, 45.0000, 0.1056, 0.7469, 0.1107, 2.3793, 0.1006, 0.7113
10.0000, 10.0000, 0.0000, 0.0000, 0.0000, 45.0000, 0.0266, 0.1878, 0.0282, 0.9892, 0.0229, 0.1621
2.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0094, 0.4667, 0.0117, 0.6702, 0.0023, 0.1131
4.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0330, 0.8238, 0.0420, 2.4083, 0.0048, 0.1204
